ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV44,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__unclassified,s__unclassified
ASV45,k__Bacteria,p__Chloroflexi,c__KD4-96,o__unclassified,f__unclassified,g__unclassified,s__unclassified
ASV46,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,s__unclassified
ASV47,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__unclassified
ASV48,k__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__unclassified,g__unclassified,s__unclassified
ASV49,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__unclassified
ASV50,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__unclassified,s__unclassified
ASV51,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified
ASV52,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__unclassified,s__unclassified
ASV53,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__unclassified
ASV54,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__unidentified_Gemmatimonadaceae,s__Gemmatimonadetes_bacterium_LX87
ASV55,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__unclassified
ASV56,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__unclassified
ASV57,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__unclassified,s__unclassified
ASV58,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__unclassified,s__unclassified
ASV59,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__unclassified,s__unclassified
ASV60,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__unidentified_Gemmatimonadaceae,s__Gemmatimonadetes_bacterium_LP81
ASV61,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__unclassified,s__unclassified
ASV62,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__unclassified,s__unclassified
ASV63,k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__unclassified,g__unclassified,s__unclassified
